from_external_id,to_external_id,link_type,rationale
INC0000001,INC0000002,causal,progressione kill-chain stesso attore/campagna
INC0000001,INC0000002,temporal,"stessa campagna, sequenza temporale"
INC0000002,INC0000003,causal,progressione kill-chain stesso attore/campagna
INC0000002,INC0000003,temporal,"stessa campagna, sequenza temporale"
INC0000003,INC0000004,causal,progressione kill-chain stesso attore/campagna
INC0000003,INC0000004,temporal,"stessa campagna, sequenza temporale"
INC0000005,INC0000006,causal,progressione kill-chain stesso attore/campagna
INC0000005,INC0000006,temporal,"stessa campagna, sequenza temporale"
INC0000006,INC0000007,causal,progressione kill-chain stesso attore/campagna
INC0000006,INC0000007,temporal,"stessa campagna, sequenza temporale"
INC0000008,INC0000009,causal,progressione kill-chain stesso attore/campagna
INC0000008,INC0000009,temporal,"stessa campagna, sequenza temporale"
INC0000009,INC0000010,causal,progressione kill-chain stesso attore/campagna
INC0000009,INC0000010,temporal,"stessa campagna, sequenza temporale"
INC0000010,INC0000011,causal,progressione kill-chain stesso attore/campagna
INC0000010,INC0000011,temporal,"stessa campagna, sequenza temporale"
INC0000011,INC0000012,causal,progressione kill-chain stesso attore/campagna
INC0000011,INC0000012,temporal,"stessa campagna, sequenza temporale"
INC0000012,INC0000013,causal,progressione kill-chain stesso attore/campagna
INC0000012,INC0000013,temporal,"stessa campagna, sequenza temporale"
INC0000014,INC0000015,causal,progressione kill-chain stesso attore/campagna
INC0000014,INC0000015,temporal,"stessa campagna, sequenza temporale"
INC0000015,INC0000016,causal,progressione kill-chain stesso attore/campagna
INC0000015,INC0000016,temporal,"stessa campagna, sequenza temporale"
INC0000016,INC0000017,causal,progressione kill-chain stesso attore/campagna
INC0000016,INC0000017,temporal,"stessa campagna, sequenza temporale"
INC0000017,INC0000018,causal,progressione kill-chain stesso attore/campagna
INC0000017,INC0000018,temporal,"stessa campagna, sequenza temporale"
INC0000018,INC0000019,causal,progressione kill-chain stesso attore/campagna
INC0000018,INC0000019,temporal,"stessa campagna, sequenza temporale"
INC0000019,INC0000020,causal,progressione kill-chain stesso attore/campagna
INC0000019,INC0000020,temporal,"stessa campagna, sequenza temporale"
INC0000020,INC0000021,causal,progressione kill-chain stesso attore/campagna
INC0000020,INC0000021,temporal,"stessa campagna, sequenza temporale"
INC0000022,INC0000014,supports,postmortem corrobora lo stadio
INC0000022,INC0000015,supports,postmortem corrobora lo stadio
INC0000022,INC0000016,supports,postmortem corrobora lo stadio
INC0000022,INC0000017,supports,postmortem corrobora lo stadio
INC0000022,INC0000018,supports,postmortem corrobora lo stadio
INC0000022,INC0000019,supports,postmortem corrobora lo stadio
INC0000022,INC0000020,supports,postmortem corrobora lo stadio
INC0000022,INC0000021,supports,postmortem corrobora lo stadio
INC0000023,INC0000024,causal,progressione kill-chain stesso attore/campagna
INC0000023,INC0000024,temporal,"stessa campagna, sequenza temporale"
INC0000024,INC0000025,causal,progressione kill-chain stesso attore/campagna
INC0000024,INC0000025,temporal,"stessa campagna, sequenza temporale"
INC0000026,INC0000023,supports,postmortem corrobora lo stadio
INC0000026,INC0000024,supports,postmortem corrobora lo stadio
INC0000026,INC0000025,supports,postmortem corrobora lo stadio
INC0000027,INC0000028,causal,progressione kill-chain stesso attore/campagna
INC0000027,INC0000028,temporal,"stessa campagna, sequenza temporale"
INC0000028,INC0000029,causal,progressione kill-chain stesso attore/campagna
INC0000028,INC0000029,temporal,"stessa campagna, sequenza temporale"
INC0000029,INC0000030,causal,progressione kill-chain stesso attore/campagna
INC0000029,INC0000030,temporal,"stessa campagna, sequenza temporale"
INC0000030,INC0000031,causal,progressione kill-chain stesso attore/campagna
INC0000030,INC0000031,temporal,"stessa campagna, sequenza temporale"
INC0000031,INC0000032,causal,progressione kill-chain stesso attore/campagna
INC0000031,INC0000032,temporal,"stessa campagna, sequenza temporale"
INC0000032,INC0000033,causal,progressione kill-chain stesso attore/campagna
INC0000032,INC0000033,temporal,"stessa campagna, sequenza temporale"
INC0000034,INC0000032,contradicts,falso positivo iniziale vs attivita' confermata
INC0000035,INC0000036,causal,progressione kill-chain stesso attore/campagna
INC0000035,INC0000036,temporal,"stessa campagna, sequenza temporale"
