external_id,path,content,tags,disposition,severity,status,category,mitre_tactic,mitre_technique,first_seen,detected_at,region,data_source,escalation_tier,analyst,threat_actor,campaign_id,src_ip,dst_host,affected_user,ioc_hash,ioc_domain,cve_id,fp_cause,benign_cause,closure_reason,asset_criticality,confidence,cvss_score,alert_count,sla_met,ttd_minutes,ttr_minutes
INC0000001,root.soc.lateral_movement.y2025.camp_000001.inc_1,[INC0000001] [P2] Lateral via SMB/PsExec da MAIL-684 verso JMP-793 e altri 31 server; PSEXESVC creato.,soc|incident|lateral_movement|P2|true_positive|mitre_lateral_movement|actor_akira,true_positive,P2,resolved,lateral_movement,Lateral Movement,T1021.006,2025-10-14T17:47:12Z,2025-10-17T12:52:12Z,us_west,CrowdStrike Falcon,L2,l2.bianchi,Akira,CAMP000001,150.84.170.99,JMP-793,stefano.costa,,,,,,incidente confermato,high,high,7.8,1,false,4025,180
INC0000002,root.soc.collection.y2025.camp_000001.inc_2,[INC0000002] [P3] Staging dati su MAIL-684: archivio creato in temp prima dell'exfiltration da parte di stefano.costa.,soc|incident|collection|P3|true_positive|mitre_collection|actor_akira,true_positive,P3,resolved,collection,Collection,T1005,2025-10-14T23:08:12Z,2025-10-18T15:51:12Z,us_east,Defender for Endpoint,L2,l2.conti,Akira,CAMP000001,150.84.170.99,MAIL-684,stefano.costa,,,,,,incidente confermato,low,high,3.5,1,false,5323,1440
INC0000003,root.soc.c2_beaconing.y2025.camp_000001.inc_3,"[INC0000003] [P2] Beacon C2 da MAIL-684 verso ms-auth-5140.ru (150.84.170.99:22) ogni 159 min, jitter regolare HTTPS.",soc|incident|c2_beaconing|P2|true_positive|mitre_command_and_control|actor_akira,true_positive,P2,resolved,c2_beaconing,Command and Control,T1090.003,2025-10-16T20:48:12Z,2025-10-20T05:40:12Z,eu_south,Zeek,L3,l3.forensics,Akira,CAMP000001,150.84.170.99,MAIL-684,stefano.costa,,ms-auth-5140.ru,,,,incidente confermato,low,high,7.6,1,false,4852,108
INC0000004,root.soc.data_exfiltration.y2025.camp_000001.inc_4,[INC0000004] [P1] Esfiltrazione 674526 record PII da MAIL-684 verso storage non aziendale (stefano.costa).,soc|incident|data_exfiltration|P1|true_positive|mitre_exfiltration|actor_akira,true_positive,P1,contained,data_exfiltration,Exfiltration,T1567.002,2025-10-17T19:46:12Z,2025-10-21T09:44:12Z,latam,Forcepoint DLP,L2,l2.greco,Akira,CAMP000001,150.84.170.99,MAIL-684,stefano.costa,,ms-auth-5140.ru,,,,incidente confermato,low,high,7.9,1,true,5158,12
INC0000005,root.soc.recon_scanning.y2025.camp_000002.inc_5,"[INC0000005] [P3] Enumerazione servizi esposti su WKS-736 da 78.47.197.186; fingerprinting versioni, nessun referrer.",soc|incident|recon_scanning|P3|true_positive|mitre_reconnaissance|apt|actor_sandworm,true_positive,P3,resolved,recon_scanning,Reconnaissance,T1590,2025-06-07T08:18:46Z,2025-06-07T10:12:46Z,eu_west,Cloudflare WAF,L2,l2.conti,Sandworm,CAMP000002,78.47.197.186,WKS-894,elena.russo,,,,,,incidente confermato,low,low,6.1,1,true,114,480
INC0000006,root.soc.resource_dev.y2025.camp_000002.inc_6,[INC0000006] [P4] Nuovo certificato TLS per docusign-verify-8512.cn osservato in TI; staging per campagna Sandworm.,soc|incident|resource_dev|P4|true_positive|mitre_resource_development|apt|actor_sandworm,true_positive,P4,resolved,resource_dev,Resource Development,T1583.001,2025-06-07T22:34:46Z,2025-06-08T00:58:46Z,apac,MISP,L2,l2.conti,Sandworm,CAMP000002,78.47.197.186,WKS-894,elena.russo,,docusign-verify-8512.cn,,,,incidente confermato,high,medium,2.1,1,true,144,1152
INC0000007,root.soc.phishing.y2025.camp_000002.inc_7,[INC0000007] [P4] Spear-phishing a elena.russo con allegato f43aadaa0aa08ceba1e8f7be8633f8f27edb196046cab798756b671e47807e18 dal dominio docusign-verify-8512.cn; macro VBA che lancia PowerShell su WKS-894.,soc|incident|phishing|P4|true_positive|mitre_initial_access|apt|actor_sandworm,true_positive,P4,resolved,phishing,Initial Access,T1566.002,2025-06-09T01:15:46Z,2025-06-09T02:29:46Z,us_east,Mimecast,L1,analyst.ferretti,Sandworm,CAMP000002,78.47.197.186,WKS-894,elena.russo,f43aadaa0aa08ceba1e8f7be8633f8f27edb196046cab798756b671e47807e18,docusign-verify-8512.cn,,,,incidente confermato,low,low,2.9,1,true,74,864
INC0000008,root.soc.persistence.y2024.camp_000003.inc_8,[INC0000008] [P2] Run key di registro creata su NAS-246 per persistenza (chiara.greco); binario fff22e36dcca18f3553a7cddfb1f0cf8cba864a355bfc734d4d2470ddebc0632 non firmato.,soc|incident|persistence|P2|true_positive|mitre_persistence|actor_akira|cve-2023-34362,true_positive,P2,contained,persistence,Persistence,T1505.003,2024-01-16T15:04:07Z,2024-01-18T22:44:07Z,eu_west,Wazuh,L3,l3.threat_hunt,Akira,CAMP000003,142.90.133.4,NAS-246,chiara.greco,fff22e36dcca18f3553a7cddfb1f0cf8cba864a355bfc734d4d2470ddebc0632,,CVE-2023-34362,,,incidente confermato,medium,high,4.3,1,false,3340,360
INC0000009,root.soc.privilege_escalation.y2024.camp_000003.inc_9,"[INC0000009] [P1] SeImpersonate (Potato) su WEB-948 da APPPOOL; escalation a SYSTEM, poi accesso a JMP-381.",soc|incident|privilege_escalation|P1|true_positive|mitre_privilege_escalation|actor_akira|cve-2023-34362,true_positive,P1,contained,privilege_escalation,Privilege Escalation,T1548.002,2024-01-20T23:15:07Z,2024-01-21T00:27:07Z,apac,Defender for Endpoint,L3,l3.forensics,Akira,CAMP000003,53.97.103.171,WEB-948,luca.ferrari,,,CVE-2023-34362,,,incidente confermato,critical,high,8.0,1,true,72,15
INC0000010,root.soc.defense_evasion.y2024.camp_000003.inc_10,"[INC0000010] [P3] Process injection in svchost.exe su NAS-246; EDR eluso ~35 min, shellcode in memoria.",soc|incident|defense_evasion|P3|true_positive|mitre_defense_evasion|actor_akira|cve-2023-34362,true_positive,P3,resolved,defense_evasion,Defense Evasion,T1055,2024-01-21T04:13:07Z,2024-01-21T05:09:07Z,mea,CrowdStrike Falcon,L2,l2.bianchi,Akira,CAMP000003,142.90.133.4,NAS-246,chiara.greco,,,CVE-2023-34362,,,incidente confermato,medium,medium,4.4,1,true,56,192
